Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
DL,CMH,ATL,ATL-CMH,33.3825,-84.2537,39.5952,-82.533
DL,CMH,BOS,BOS-CMH,42.2151,-71.018,39.5952,-82.533
DL,CMH,DTW,DTW-CMH,42.1244,-83.2112,39.5952,-82.533
DL,CMH,JFK,JFK-CMH,40.3823,-73.4644,39.5952,-82.533
DL,CMH,LAX,LAX-CMH,33.5633,-118.2429,39.5952,-82.533
DL,CMH,LGA,LGA-CMH,40.4638,-73.5221,39.5952,-82.533
DL,CMH,MCO,MCO-CMH,28.2544,-81.1857,39.5952,-82.533
DL,CMH,MSP,MSP-CMH,44.5249,-93.13,39.5952,-82.533
DL,CMH,RDU,RDU-CMH,35.5239,-78.4714,39.5952,-82.533
DL,CMH,RSW,RSW-CMH,26.321,-81.4518,39.5952,-82.533
DL,CMH,TPA,TPA-CMH,27.5831,-82.3159,39.5952,-82.533
DL,COS,ATL,ATL-COS,33.3825,-84.2537,38.482,-104.42
DL,COS,SLC,SLC-COS,40.4718,-111.5839,38.482,-104.42
DL,CPR,SLC,SLC-CPR,40.4718,-111.5839,42.5428,-106.2751
DL,CVG,ATL,ATL-CVG,33.3825,-84.2537,39.246,-84.3943
DL,CVG,BDL,BDL-CVG,41.562,-72.4059,39.246,-84.3943
DL,CVG,BNA,BNA-CVG,36.728,-86.4041,39.246,-84.3943
DL,CVG,BOS,BOS-CVG,42.2151,-71.018,39.246,-84.3943
DL,CVG,BWI,BWI-CVG,39.1031,-76.406,39.246,-84.3943
DL,CVG,CLT,CLT-CVG,35.125,-80.5635,39.246,-84.3943
DL,CVG,DCA,DCA-CVG,38.517,-77.215,39.246,-84.3943
DL,CVG,DEN,DEN-CVG,39.513,-104.401,39.246,-84.3943
DL,CVG,DFW,DFW-CVG,32.5347,-97.215,39.246,-84.3943
DL,CVG,DTW,DTW-CVG,42.1244,-83.2112,39.246,-84.3943
DL,CVG,EWR,EWR-CVG,40.4132,-74.107,39.246,-84.3943
DL,CVG,FLL,FLL-CVG,26.421,-80.99,39.246,-84.3943
DL,CVG,GRR,GRR-CVG,42.5251,-85.3122,39.246,-84.3943
DL,CVG,IAH,IAH-CVG,29.5849,-95.2023,39.246,-84.3943
DL,CVG,JAX,JAX-CVG,30.2938,-81.4116,39.246,-84.3943
